x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10]
0-yr,2008-01-01,0.045761062,0.078215715,0.125094659,0.186397894,0.244095056,0.309004363,0.373913671,0.442429051,0.514550503,0.590278028,None
1-yr,2008-01-02,0.045761062,0.078215715,0.125094659,0.186397894,0.244095056,0.309004363,0.373913671,0.442429051,0.514550503,0.590278028,None
2-yr,2008-01-03,0.045761062,0.078215715,0.125094659,0.186397894,0.244095056,0.309004363,0.373913671,0.442429051,0.514550503,0.590278028,None
3-yr,2008-01-04,0.045761062,0.078215715,0.125094659,0.186397894,0.244095056,0.309004363,0.373913671,0.442429051,0.514550503,0.590278028,None
4-yr,2008-01-07,0.045761062,0.078215715,0.125094659,0.186397894,0.244095056,0.309004363,0.373913671,0.442429051,0.514550503,0.590278028,None
5-yr,2008-01-08,0.045761062,0.078215715,0.125094659,0.186397894,0.244095056,0.309004363,0.373913671,0.442429051,0.514550503,0.590278028,None
6-yr,2008-01-09,0.045761062,0.078215715,0.125094659,0.186397894,0.244095056,0.309004363,0.373913671,0.442429051,0.514550503,0.590278028,None
7-yr,2008-01-10,0.045761062,0.078215715,0.125094659,0.186397894,0.244095056,0.309004363,0.373913671,0.442429051,0.514550503,0.590278028,None
8-yr,2008-01-11,0.045761062,0.078215715,0.096246078,0.135912877,0.186397894,0.233276838,0.287367928,0.337852944,0.388337961,0.442429051,None
9-yr,2008-01-14,0.045761062,0.078215715,0.096246078,0.135912877,0.186397894,0.233276838,0.287367928,0.337852944,0.388337961,0.442429051,None
10-yr,2008-01-15,0.045761062,0.060185352,0.096246078,0.135912877,0.186397894,0.233276838,0.287367928,0.337852944,0.388337961,0.442429051,None
,2008-01-16,0.045761062,0.060185352,0.096246078,0.135912877,0.186397894,0.233276838,0.287367928,0.337852944,0.388337961,0.442429051,None
,2008-01-17,0.045761062,0.060185352,0.096246078,0.135912877,0.186397894,0.233276838,0.287367928,0.337852944,0.388337961,0.442429051,None
,2008-01-18,0.045761062,0.042154989,0.096246078,0.135912877,0.186397894,0.233276838,0.287367928,0.337852944,0.388337961,0.442429051,None
,2008-01-21,0.045761062,0.042154989,0.096246078,0.135912877,0.186397894,0.233276838,0.287367928,0.337852944,0.388337961,0.442429051,None
,2008-01-22,0.045761062,0.042154989,0.096246078,0.135912877,0.186397894,0.233276838,0.287367928,0.337852944,0.388337961,0.442429051,None
,2008-01-23,0.045761062,0.042154989,0.031336771,0.07100357,0.103458224,0.135912877,0.146731095,0.146731095,0.161155386,0.171973604,None
,2008-01-24,0.045761062,0.042154989,0.031336771,0.07100357,0.103458224,0.135912877,0.146731095,0.146731095,0.161155386,0.171973604,None
,2008-01-25,0.042154989,0.00248819,0.031336771,0.07100357,0.103458224,0.135912877,0.146731095,0.146731095,0.161155386,0.171973604,None
,2008-01-28,0.042154989,-0.015542173,0.031336771,0.07100357,0.103458224,0.135912877,0.146731095,0.146731095,0.161155386,0.171973604,None
,2008-01-29,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-01-30,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-01-31,0.042154989,-0.0119361,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-01,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-04,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-05,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-06,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-07,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-08,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-11,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-12,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-13,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-14,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-15,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-18,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-19,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-20,0.042154989,-0.015542173,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-21,0.045761062,0.031336771,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-22,0.045761062,0.031336771,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
